file_id,path,day,organ,condition
brain_d1,ReadyData\Day_1\Brain\S_1.txt,1,brain,no_fluor
heart_d1,ReadyData\Day_1\Heart\S_1.txt,1,heart,no_fluor
kidney_d1,ReadyData\Day_1\Kidney\S_1.txt,1,kidney,no_fluor
large_intestine_d1,ReadyData\Day_1\Large_Intestine\S_1.txt,1,large_intestine,no_fluor
liver_d1,ReadyData\Day_1\Liver\S_1.txt,1,liver,no_fluor
lungs_d1,ReadyData\Day_1\Lungs\S_1.txt,1,lungs,no_fluor
small_intestine_d1,ReadyData\Day_1\Small_Intestine\S_1.txt,1,small_intestine,no_fluor
spleen_d1,ReadyData\Day_1\Spleen\S_1.txt,1,spleen,no_fluor
brain_d2,ReadyData\Day_2\Brain\S_1.txt,2,brain,no_fluor
heart_d2,ReadyData\Day_2\Heart\S_1.txt,2,heart,no_fluor
kidney_d2,ReadyData\Day_2\Kidney\S_1.txt,2,kidney,no_fluor
large_intestine_d2,ReadyData\Day_2\Large_Intestine\S_1.txt,2,large_intestine,no_fluor
liver_d2,ReadyData\Day_2\Liver\S_1.txt,2,liver,no_fluor
lungs_d2,ReadyData\Day_2\Lungs\S_1.txt,2,lungs,no_fluor
pancreas_d2,ReadyData\Day_2\Pancreas\S_1.txt,2,pancreas,no_fluor
small_intestine_d2,ReadyData\Day_2\Small_Intestine\S_1.txt,2,small_intestine,no_fluor
spleen_d2,ReadyData\Day_2\Spleen\S_1.txt,2,spleen,no_fluor
brain_d3_injected,ReadyData\Day_3\Set_1_Injected\Brain\S_1.txt,3,brain,fluor
heart_d3_injected,ReadyData\Day_3\Set_1_Injected\Heart\S_1.txt,3,heart,fluor
kidney_d3_injected,ReadyData\Day_3\Set_1_Injected\Kidney\S_1.txt,3,kidney,fluor
large_intestine_d3_injected,ReadyData\Day_3\Set_1_Injected\Large_Intestine\S_1.txt,3,large_intestine,fluor
liver_d3_injected,ReadyData\Day_3\Set_1_Injected\Liver\S_1.txt,3,liver,fluor
lungs_d3_injected,ReadyData\Day_3\Set_1_Injected\Lungs\S_1.txt,3,lungs,fluor
small_intestine_d3_injected,ReadyData\Day_3\Set_1_Injected\Small_Intestine\S_1.txt,3,small_intestine,fluor
spleen_d3_injected,ReadyData\Day_3\Set_1_Injected\Spleen\S_1.txt,3,spleen,fluor
brain_d3_non,ReadyData\Day_3\Set_2_Non_Injected\Brain\S_1.txt,3,brain,no_fluor
large_intestine_d3_non,ReadyData\Day_3\Set_2_Non_Injected\Large_Intestine\S_1.txt,3,large_intestine,no_fluor
lungs_d3_non,ReadyData\Day_3\Set_2_Non_Injected\Lungs\S_2.txt,3,lungs,no_fluor
pancreas_d3_non,ReadyData\Day_3\Set_2_Non_Injected\Pancreas\S_1.txt,3,pancreas,no_fluor
small_intestine_d3_non,ReadyData\Day_3\Set_2_Non_Injected\Small_Intestine\S_1.txt,3,small_intestine,no_fluor
spleen_d3_non,ReadyData\Day_3\Set_2_Non_Injected\Spleen\S_1.txt,3,spleen,no_fluor
